val_loss,step,epoch,train_loss
0.5994437336921692,99,0,
,99,0,1.455477237701416
0.8899017572402954,199,1,
,199,1,-0.03072298876941204
0.2668946385383606,299,2,
,299,2,1.1524195671081543
0.21854031085968018,399,3,
,399,3,1.5881783962249756
0.10879223048686981,499,4,
,499,4,0.627212643623352
-0.005976386833935976,599,5,
,599,5,0.05750291794538498
0.40460920333862305,699,6,
,699,6,-0.665067195892334
0.08063070476055145,799,7,
,799,7,0.8111127614974976
0.11992594599723816,899,8,
,899,8,0.30567023158073425
0.2894599735736847,999,9,
,999,9,-0.9029583930969238
0.20750556886196136,1099,10,
,1099,10,0.06333912909030914
0.06770666688680649,1199,11,
,1199,11,-0.22575274109840393
-0.07304299622774124,1299,12,
,1299,12,0.17470161616802216
0.05220676586031914,1399,13,
,1399,13,0.26063722372055054
-0.010260267183184624,1499,14,
,1499,14,-0.017792709171772003
0.01813029870390892,1599,15,
,1599,15,-0.08991685509681702
-0.09840548783540726,1699,16,
,1699,16,0.17489618062973022
-0.18667028844356537,1799,17,
,1799,17,-0.19810348749160767
-0.0741097554564476,1899,18,
,1899,18,-0.14298321306705475
0.06774719059467316,1999,19,
,1999,19,0.39182543754577637
-0.04191101714968681,2099,20,
,2099,20,1.0475741624832153
0.0923723578453064,2199,21,
,2199,21,0.7922593951225281
-0.012222026474773884,2299,22,
,2299,22,-0.6327451467514038
0.007712589111179113,2399,23,
,2399,23,0.12539343535900116
-0.03657372295856476,2499,24,
,2499,24,0.46678975224494934
0.249521866440773,2599,25,
,2599,25,0.8943545818328857
0.19170834124088287,2699,26,
,2699,26,0.8462527394294739
-0.00014180374273564667,2799,27,
,2799,27,0.7915045619010925
-0.16487695276737213,2899,28,
,2899,28,0.7172427177429199
-0.1691025346517563,2999,29,
,2999,29,-0.516433596611023
-0.004559665452688932,3099,30,
,3099,30,0.2054751217365265
0.19992801547050476,3199,31,
,3199,31,0.911078929901123
-0.01386180892586708,3299,32,
,3299,32,0.7291572690010071
-0.0049289437010884285,3399,33,
